Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years and Over by Planning Area of Workplace, Usual Mode of Transport to Work and Planning Region of Residence (Census of Population 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Area of Residence,Total,Total,Total,Total,Total,Central Region,Central Region,Central Region,Central Region,Central Region,East Region,East Region,East Region,East Region,East Region,North Region,North Region,North Region,North Region,North Region,North-East Region,North-East Region,North-East Region,North-East Region,North-East Region,West Region,West Region,West Region,West Region,West Region
Planning Area of Workplace,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required
  Pioneer,36579,17198,10984,8274,123,3925,1638,1657,604,26,2694,1079,1043,573,-,4914,2576,1366,972,-,4182,1512,1929,741,-,20865,10394,4990,5385,96
  Punggol,9186,5316,1454,767,1650,499,286,169,33,10,1053,674,336,43,-,732,458,208,50,17,6651,3750,711,568,1623,250,147,30,72,-
  Queenstown,129905,86318,33969,7355,2263,35551,21783,10641,1150,1977,15664,9196,5439,1018,11,13900,9648,2978,1234,40,25114,17900,5984,1193,36,39677,27790,8927,2760,200
  Rochor,31152,21147,7674,1328,1003,10177,6334,2460,484,900,5210,3108,1840,242,20,3563,2818,595,125,24,7096,5050,1763,249,34,5107,3837,1017,228,25
  Seletar,5265,2777,1594,894,-,681,251,324,107,-,1225,666,383,176,-,1101,607,275,219,-,1636,880,501,254,-,622,374,110,138,-
  Sembawang,39772,21088,10505,6045,2134,3307,1699,1239,338,31,2593,1129,1218,228,18,20458,11133,3571,3800,1953,6083,2895,2393,725,70,7331,4232,2083,954,62
  Sengkang,17301,9825,2771,1703,3003,1346,882,366,82,16,1738,1145,416,177,-,1580,1058,314,184,24,12108,6489,1501,1155,2963,529,250,173,105,-
  Serangoon,38008,21788,10795,3193,2232,5611,3331,1970,283,26,3837,2229,1359,231,18,6120,3711,1524,885,-,18824,10361,4868,1445,2149,3617,2156,1074,349,38
  Singapore River,17889,13184,3923,572,210,5608,3723,1541,198,146,2765,1962,744,37,22,1911,1646,158,91,16,4033,3164,768,100,-,3573,2690,712,146,25
  Southern Islands,7884,6275,973,599,37,1920,1522,269,104,24,935,707,163,65,-,1296,1141,55,100,-,1862,1492,252,118,-,1871,1413,234,212,13
  Sungei Kadut,20577,9974,6968,3436,199,2310,1073,935,302,-,1140,390,593,157,-,6686,3825,1502,1283,77,3266,1177,1534,523,32,7174,3508,2405,1171,90
  Tampines,83159,49398,21151,7474,5137,11726,7224,3891,541,70,38829,22998,7704,3318,4808,6109,3847,1460,738,65,20070,11715,5949,2263,143,6426,3613,2147,614,52
  Tanglin,11517,7884,3000,511,122,3600,2185,1233,98,83,1545,1092,373,69,10,1382,1150,144,89,-,2211,1593,534,70,13,2779,1864,716,184,15
  Toa Payoh,53392,31864,15295,3492,2741,16081,8046,4521,967,2548,7553,4663,2421,468,-,7028,5116,1391,479,42,15563,9796,4705,976,86,7167,4243,2257,602,65
  Tuas,41999,17858,12566,11425,150,4462,1897,1847,718,-,2736,878,1165,652,41,6487,3051,1586,1850,-,4663,1732,1855,1060,17,23651,10301,6113,7146,92
  Western Islands,13125,5297,4187,3629,12,1754,688,702,364,-,1279,465,401,414,-,1630,691,549,390,-,1450,429,590,431,-,7012,3025,1946,2029,12
  Western Water Catchment,27900,17255,7681,2594,370,4280,2524,1498,258,-,3177,1974,1004,177,22,4552,2903,1057,577,16,4156,2477,1271,408,-,11735,7378,2852,1174,331
  Woodlands,43383,22630,10689,4984,5080,3608,1848,1521,187,53,2209,1152,710,326,22,23060,11492,3816,2883,4869,5782,3186,1922,634,40,8724,4953,2721,955,96
  Yishun,41337,21799,9902,4287,5349,4081,2555,1329,184,13,2593,1400,1022,161,11,22042,10508,3229,3035,5271,7709,4539,2689,452,30,4911,2798,1633,455,25
  Other Planning Areas or Outside Singapore,22721,12599,6905,2859,358,4801,2364,2023,310,105,3771,2211,1129,353,78,3992,2163,954,801,75,4789,2885,1338,557,9,5368,2976,1462,839,91
  No Fixed Location for Work,174780,60789,29003,21038,63950,30759,12158,5159,2785,10656,31701,11016,5133,3800,11752,29226,10090,4421,4111,10604,42583,13810,7751,5384,15638,40511,13715,6539,4958,15299
  Works from Home,68974,-,-,-,68974,17695,-,-,-,17695,12537,-,-,-,12537,7978,-,-,-,7978,17429,-,-,-,17429,13335,-,-,-,13335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes:
Planning areas refer to areas demarcated in the Urban Redevelopment Authority's Master Plan 2019.
Data refers to the usual workplace location and not the temporary arrangements due to COVID-19 measures.
Data exclude employed persons who were overseas for at least 6 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 27/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
